,xbox,ybox,width,high,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xege,xegvy,yege,yegvx,lettr,prediction
2005,4.0,6.0,5.0,4.0,3.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,2.0,8.0,4.0,10.0,L,G
2006,2.0,1.0,2.0,1.0,2.0,8.0,8.0,6.0,6.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,H,H
2007,5.0,6.0,6.0,4.0,3.0,4.0,9.0,5.0,7.0,11.0,11.0,9.0,3.0,9.0,2.0,7.0,U,U
2008,3.0,5.0,4.0,3.0,3.0,7.0,9.0,5.0,5.0,7.0,6.0,6.0,5.0,9.0,2.0,6.0,N,N
2009,4.0,10.0,6.0,8.0,4.0,8.0,7.0,7.0,7.0,10.0,5.0,4.0,3.0,7.0,5.0,9.0,D,K
2010,3.0,3.0,4.0,4.0,3.0,8.0,7.0,6.0,2.0,8.0,7.0,9.0,2.0,9.0,4.0,8.0,Q,Q
2011,3.0,5.0,5.0,3.0,2.0,8.0,7.0,3.0,9.0,6.0,6.0,9.0,3.0,7.0,7.0,9.0,X,X
2012,4.0,11.0,5.0,8.0,5.0,7.0,7.0,13.0,1.0,6.0,6.0,8.0,6.0,9.0,1.0,6.0,N,N
2013,1.0,0.0,1.0,0.0,0.0,7.0,7.0,10.0,0.0,5.0,6.0,8.0,4.0,8.0,0.0,8.0,N,N
2014,3.0,9.0,5.0,7.0,7.0,7.0,8.0,3.0,5.0,6.0,6.0,10.0,6.0,11.0,7.0,5.0,L,L
2015,4.0,11.0,5.0,8.0,4.0,4.0,11.0,4.0,6.0,11.0,10.0,6.0,2.0,10.0,3.0,5.0,F,F
2016,5.0,9.0,5.0,5.0,2.0,5.0,8.0,4.0,6.0,4.0,4.0,9.0,4.0,7.0,2.0,8.0,N,N
2017,1.0,11.0,0.0,8.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I,I
2018,5.0,8.0,5.0,6.0,3.0,5.0,9.0,1.0,8.0,9.0,9.0,5.0,1.0,11.0,3.0,4.0,Y,Y
2019,2.0,4.0,4.0,3.0,2.0,7.0,8.0,2.0,9.0,12.0,7.0,7.0,1.0,8.0,5.0,6.0,Z,Z
2020,5.0,11.0,7.0,8.0,6.0,7.0,7.0,8.0,5.0,7.0,5.0,6.0,3.0,7.0,3.0,8.0,N,O
2021,4.0,7.0,5.0,5.0,4.0,6.0,7.0,8.0,5.0,7.0,5.0,7.0,3.0,7.0,3.0,8.0,N,O
2022,4.0,10.0,4.0,7.0,2.0,4.0,10.0,10.0,3.0,9.0,6.0,4.0,2.0,10.0,4.0,8.0,P,P
2023,12.0,15.0,11.0,9.0,5.0,6.0,8.0,3.0,7.0,9.0,9.0,10.0,6.0,10.0,4.0,6.0,K,K
2024,1.0,0.0,2.0,1.0,0.0,7.0,4.0,2.0,0.0,7.0,2.0,8.0,2.0,7.0,1.0,8.0,A,A
2025,5.0,10.0,6.0,7.0,2.0,4.0,7.0,9.0,2.0,7.0,6.0,12.0,3.0,8.0,3.0,11.0,K,K
2026,7.0,11.0,8.0,8.0,5.0,6.0,6.0,7.0,8.0,10.0,7.0,11.0,2.0,10.0,5.0,9.0,G,G
2027,4.0,5.0,7.0,4.0,4.0,6.0,7.0,1.0,7.0,10.0,7.0,10.0,3.0,8.0,3.0,8.0,K,K
2028,3.0,10.0,6.0,7.0,4.0,11.0,3.0,2.0,2.0,9.0,2.0,9.0,3.0,7.0,3.0,9.0,A,A
2029,2.0,1.0,3.0,2.0,1.0,6.0,12.0,2.0,7.0,8.0,11.0,8.0,1.0,10.0,1.0,7.0,T,T
2030,4.0,9.0,5.0,8.0,3.0,8.0,6.0,9.0,7.0,6.0,5.0,9.0,3.0,8.0,4.0,8.0,Q,Q
2031,3.0,4.0,5.0,6.0,1.0,7.0,12.0,2.0,3.0,8.0,12.0,8.0,1.0,10.0,0.0,8.0,Y,Y
2032,3.0,7.0,5.0,5.0,3.0,7.0,9.0,6.0,5.0,7.0,6.0,7.0,5.0,9.0,2.0,6.0,N,N
2033,2.0,6.0,2.0,4.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0,L,L
2034,7.0,13.0,5.0,7.0,3.0,6.0,8.0,6.0,8.0,10.0,6.0,10.0,1.0,8.0,8.0,8.0,E,E
2035,1.0,3.0,2.0,5.0,1.0,12.0,3.0,9.0,3.0,13.0,5.0,13.0,1.0,6.0,0.0,8.0,J,J
2036,2.0,1.0,2.0,2.0,1.0,7.0,7.0,3.0,11.0,9.0,6.0,8.0,0.0,8.0,7.0,8.0,Z,Z
2037,1.0,0.0,1.0,0.0,0.0,8.0,7.0,5.0,4.0,6.0,5.0,9.0,1.0,8.0,4.0,10.0,G,G
2038,5.0,9.0,6.0,7.0,6.0,8.0,8.0,8.0,5.0,5.0,7.0,9.0,3.0,8.0,4.0,6.0,U,U
2039,3.0,2.0,4.0,4.0,2.0,6.0,8.0,7.0,8.0,9.0,8.0,13.0,1.0,9.0,4.0,10.0,C,C
2040,8.0,12.0,6.0,6.0,5.0,8.0,8.0,4.0,3.0,9.0,5.0,6.0,4.0,9.0,9.0,8.0,G,G
2041,6.0,10.0,6.0,8.0,6.0,2.0,11.0,2.0,2.0,10.0,9.0,7.0,6.0,11.0,2.0,6.0,W,W
2042,4.0,9.0,6.0,6.0,4.0,7.0,6.0,4.0,5.0,8.0,6.0,7.0,5.0,6.0,4.0,6.0,J,D
2043,4.0,11.0,6.0,8.0,8.0,7.0,8.0,3.0,5.0,6.0,6.0,10.0,6.0,11.0,7.0,5.0,L,G
2044,5.0,10.0,7.0,8.0,6.0,6.0,8.0,5.0,6.0,6.0,5.0,8.0,3.0,6.0,6.0,9.0,R,R
2045,2.0,4.0,4.0,3.0,2.0,7.0,9.0,1.0,7.0,13.0,5.0,5.0,1.0,9.0,2.0,8.0,F,F
2046,6.0,12.0,5.0,6.0,3.0,4.0,9.0,4.0,2.0,10.0,9.0,6.0,3.0,9.0,3.0,4.0,Y,Y
2047,3.0,5.0,5.0,4.0,2.0,7.0,10.0,1.0,7.0,7.0,11.0,8.0,1.0,11.0,2.0,8.0,Y,Y
2048,2.0,1.0,3.0,3.0,2.0,6.0,7.0,5.0,6.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,H,H
2049,3.0,6.0,4.0,4.0,3.0,7.0,8.0,3.0,8.0,6.0,6.0,8.0,2.0,8.0,6.0,8.0,X,X
2050,5.0,11.0,7.0,8.0,10.0,6.0,7.0,3.0,4.0,6.0,6.0,9.0,7.0,10.0,8.0,6.0,R,R
2051,3.0,6.0,5.0,4.0,3.0,5.0,12.0,6.0,3.0,10.0,7.0,2.0,1.0,10.0,3.0,6.0,P,P
2052,3.0,3.0,3.0,5.0,1.0,7.0,5.0,13.0,5.0,7.0,14.0,8.0,3.0,9.0,0.0,8.0,U,U
2053,2.0,0.0,2.0,1.0,1.0,6.0,7.0,6.0,10.0,7.0,6.0,14.0,0.0,8.0,4.0,9.0,C,C
2054,1.0,0.0,2.0,1.0,1.0,6.0,9.0,7.0,3.0,7.0,5.0,8.0,2.0,7.0,4.0,11.0,R,R
2055,8.0,15.0,7.0,9.0,3.0,6.0,10.0,3.0,8.0,13.0,6.0,6.0,2.0,8.0,5.0,4.0,T,T
2056,6.0,8.0,8.0,11.0,12.0,8.0,8.0,4.0,2.0,7.0,8.0,9.0,4.0,12.0,9.0,8.0,Y,Y
2057,4.0,7.0,4.0,5.0,3.0,7.0,7.0,8.0,6.0,9.0,7.0,10.0,3.0,8.0,3.0,7.0,O,O
2058,0.0,0.0,1.0,0.0,0.0,12.0,4.0,6.0,3.0,12.0,4.0,11.0,0.0,7.0,0.0,8.0,J,J
2059,3.0,4.0,5.0,3.0,3.0,9.0,7.0,3.0,5.0,11.0,3.0,6.0,2.0,7.0,3.0,9.0,R,R
2060,1.0,3.0,3.0,2.0,1.0,8.0,7.0,2.0,9.0,11.0,6.0,8.0,1.0,8.0,5.0,7.0,Z,Z
2061,3.0,11.0,4.0,8.0,4.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,X,X
2062,2.0,3.0,3.0,2.0,1.0,5.0,8.0,5.0,6.0,10.0,9.0,9.0,3.0,9.0,2.0,6.0,U,U
2063,5.0,11.0,6.0,8.0,5.0,5.0,8.0,8.0,7.0,10.0,8.0,13.0,2.0,11.0,4.0,10.0,C,C
2064,5.0,11.0,7.0,8.0,8.0,8.0,5.0,5.0,3.0,8.0,7.0,9.0,9.0,9.0,6.0,11.0,V,Q
2065,4.0,7.0,5.0,5.0,2.0,6.0,7.0,6.0,10.0,6.0,6.0,12.0,1.0,7.0,4.0,8.0,C,C
2066,8.0,10.0,11.0,7.0,7.0,5.0,6.0,4.0,5.0,11.0,10.0,11.0,11.0,5.0,4.0,7.0,M,M
2067,1.0,1.0,1.0,1.0,1.0,7.0,7.0,2.0,7.0,7.0,6.0,8.0,0.0,8.0,2.0,8.0,I,I
2068,1.0,0.0,2.0,1.0,0.0,8.0,6.0,11.0,4.0,7.0,12.0,8.0,3.0,10.0,0.0,8.0,U,U
2069,5.0,11.0,7.0,8.0,9.0,8.0,7.0,3.0,5.0,6.0,7.0,9.0,7.0,10.0,7.0,6.0,L,B
2070,1.0,3.0,1.0,2.0,0.0,10.0,6.0,2.0,5.0,11.0,4.0,9.0,0.0,7.0,1.0,7.0,J,J
2071,5.0,8.0,7.0,6.0,3.0,4.0,12.0,3.0,6.0,14.0,8.0,4.0,1.0,10.0,1.0,7.0,F,F
2072,2.0,4.0,3.0,3.0,2.0,6.0,7.0,5.0,5.0,9.0,7.0,10.0,2.0,9.0,4.0,9.0,G,G
2073,4.0,10.0,6.0,8.0,7.0,8.0,6.0,5.0,2.0,6.0,6.0,10.0,7.0,8.0,5.0,10.0,G,G
2074,2.0,1.0,3.0,1.0,1.0,7.0,4.0,2.0,0.0,7.0,2.0,8.0,2.0,6.0,2.0,8.0,A,A
2075,2.0,0.0,2.0,1.0,1.0,8.0,7.0,6.0,4.0,6.0,6.0,9.0,2.0,8.0,3.0,8.0,Q,Q
2076,4.0,8.0,6.0,6.0,6.0,8.0,7.0,6.0,5.0,9.0,7.0,6.0,3.0,8.0,7.0,8.0,B,B
2077,1.0,0.0,1.0,0.0,0.0,5.0,10.0,7.0,1.0,9.0,6.0,5.0,1.0,9.0,2.0,8.0,P,P
2078,3.0,8.0,4.0,6.0,3.0,5.0,8.0,6.0,6.0,9.0,8.0,14.0,1.0,9.0,3.0,10.0,C,C
2079,2.0,4.0,4.0,3.0,2.0,6.0,8.0,2.0,8.0,11.0,7.0,9.0,2.0,8.0,4.0,8.0,E,E
2080,10.0,13.0,12.0,7.0,6.0,10.0,2.0,3.0,2.0,10.0,2.0,9.0,8.0,1.0,2.0,8.0,M,M
2081,2.0,6.0,2.0,4.0,1.0,0.0,2.0,5.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0,L,L
2082,4.0,11.0,6.0,8.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,6.0,6.0,8.0,3.0,7.0,D,D
2083,2.0,6.0,3.0,4.0,3.0,6.0,7.0,7.0,5.0,7.0,6.0,7.0,2.0,8.0,6.0,9.0,B,B
2084,4.0,9.0,6.0,7.0,5.0,5.0,9.0,3.0,7.0,11.0,9.0,9.0,3.0,9.0,4.0,6.0,E,E
2085,6.0,15.0,6.0,8.0,4.0,7.0,5.0,5.0,8.0,9.0,5.0,8.0,3.0,7.0,9.0,9.0,Q,E
2086,7.0,6.0,9.0,5.0,9.0,7.0,8.0,5.0,4.0,6.0,5.0,8.0,13.0,7.0,5.0,8.0,M,M
2087,4.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,4.0,7.0,7.0,8.0,7.0,10.0,6.0,8.0,G,B
2088,3.0,6.0,5.0,4.0,4.0,8.0,8.0,8.0,5.0,6.0,7.0,9.0,3.0,8.0,4.0,6.0,U,U
2089,3.0,7.0,4.0,4.0,1.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,X,X
2090,8.0,10.0,10.0,9.0,11.0,7.0,7.0,5.0,4.0,7.0,6.0,7.0,8.0,9.0,6.0,5.0,N,M
2091,5.0,6.0,5.0,4.0,4.0,3.0,10.0,2.0,3.0,10.0,9.0,8.0,6.0,11.0,2.0,6.0,W,W
2092,0.0,1.0,1.0,2.0,1.0,7.0,7.0,1.0,6.0,7.0,6.0,8.0,0.0,8.0,2.0,8.0,I,I
2093,5.0,5.0,5.0,7.0,2.0,1.0,15.0,5.0,3.0,12.0,9.0,4.0,0.0,8.0,3.0,6.0,F,F
2094,5.0,10.0,5.0,8.0,5.0,2.0,7.0,5.0,9.0,7.0,6.0,14.0,0.0,8.0,6.0,8.0,E,E
2095,4.0,10.0,6.0,7.0,1.0,8.0,10.0,2.0,2.0,6.0,13.0,8.0,1.0,11.0,0.0,8.0,Y,Y
2096,4.0,8.0,6.0,6.0,5.0,10.0,6.0,3.0,6.0,10.0,4.0,7.0,3.0,8.0,5.0,11.0,B,B
2097,4.0,8.0,5.0,6.0,4.0,6.0,7.0,8.0,7.0,6.0,5.0,4.0,3.0,8.0,4.0,8.0,D,D
2098,2.0,1.0,2.0,2.0,1.0,8.0,7.0,7.0,5.0,7.0,6.0,8.0,2.0,8.0,3.0,8.0,O,O
2099,3.0,3.0,5.0,2.0,2.0,7.0,8.0,3.0,5.0,10.0,7.0,8.0,3.0,8.0,3.0,7.0,H,H
2100,4.0,5.0,5.0,5.0,2.0,8.0,5.0,8.0,8.0,6.0,4.0,8.0,3.0,8.0,4.0,8.0,Q,O
2101,4.0,8.0,4.0,6.0,2.0,3.0,12.0,4.0,5.0,12.0,12.0,6.0,1.0,11.0,2.0,6.0,Y,Y
2102,3.0,8.0,4.0,6.0,5.0,8.0,7.0,8.0,5.0,7.0,6.0,6.0,3.0,8.0,7.0,10.0,B,O
2103,4.0,9.0,5.0,7.0,3.0,6.0,9.0,7.0,5.0,10.0,8.0,7.0,3.0,8.0,3.0,8.0,O,O
2104,3.0,4.0,5.0,3.0,3.0,7.0,10.0,6.0,3.0,11.0,4.0,3.0,1.0,10.0,3.0,8.0,P,P
2105,1.0,0.0,1.0,0.0,0.0,5.0,8.0,5.0,7.0,7.0,6.0,12.0,0.0,8.0,6.0,10.0,E,E
2106,3.0,7.0,4.0,5.0,2.0,8.0,8.0,8.0,6.0,6.0,7.0,9.0,3.0,8.0,4.0,8.0,O,Q
2107,3.0,8.0,5.0,6.0,1.0,9.0,8.0,4.0,3.0,6.0,14.0,8.0,3.0,9.0,0.0,8.0,V,V
2108,6.0,9.0,6.0,10.0,8.0,8.0,5.0,7.0,4.0,9.0,5.0,8.0,4.0,8.0,5.0,7.0,Q,Q
2109,4.0,8.0,5.0,6.0,7.0,8.0,7.0,3.0,4.0,6.0,6.0,8.0,6.0,8.0,7.0,5.0,K,A
2110,6.0,10.0,6.0,7.0,4.0,6.0,12.0,4.0,7.0,11.0,9.0,4.0,2.0,13.0,4.0,4.0,T,T
2111,5.0,9.0,6.0,7.0,3.0,4.0,8.0,6.0,9.0,12.0,9.0,12.0,1.0,9.0,3.0,7.0,C,C
2112,4.0,5.0,5.0,3.0,2.0,6.0,8.0,6.0,7.0,7.0,10.0,10.0,3.0,9.0,1.0,8.0,U,U
2113,1.0,0.0,2.0,1.0,0.0,7.0,7.0,11.0,0.0,5.0,6.0,8.0,4.0,8.0,0.0,8.0,N,N
2114,3.0,2.0,4.0,3.0,2.0,6.0,8.0,7.0,7.0,9.0,8.0,12.0,2.0,10.0,3.0,9.0,C,C
2115,7.0,10.0,9.0,8.0,5.0,4.0,8.0,3.0,8.0,11.0,11.0,11.0,4.0,6.0,5.0,5.0,K,K
2116,6.0,11.0,8.0,8.0,8.0,6.0,6.0,8.0,4.0,6.0,4.0,8.0,4.0,6.0,8.0,11.0,H,K
2117,6.0,10.0,5.0,5.0,3.0,4.0,12.0,6.0,1.0,12.0,6.0,4.0,3.0,10.0,4.0,8.0,P,P
2118,1.0,0.0,2.0,0.0,0.0,5.0,11.0,6.0,1.0,9.0,6.0,5.0,1.0,9.0,3.0,8.0,P,P
2119,3.0,3.0,4.0,2.0,1.0,5.0,8.0,5.0,7.0,11.0,10.0,8.0,3.0,9.0,2.0,6.0,U,U
2120,5.0,9.0,5.0,7.0,4.0,4.0,8.0,5.0,6.0,11.0,9.0,14.0,2.0,9.0,3.0,7.0,C,C
2121,5.0,4.0,6.0,3.0,2.0,4.0,8.0,5.0,8.0,10.0,9.0,9.0,3.0,9.0,2.0,6.0,U,U
2122,2.0,3.0,2.0,1.0,1.0,7.0,7.0,5.0,7.0,7.0,6.0,8.0,2.0,8.0,5.0,10.0,E,E
2123,10.0,15.0,9.0,8.0,5.0,6.0,9.0,4.0,4.0,9.0,8.0,5.0,5.0,12.0,3.0,8.0,V,V
2124,2.0,6.0,4.0,4.0,3.0,10.0,5.0,2.0,4.0,7.0,5.0,5.0,3.0,8.0,4.0,6.0,J,I
2125,5.0,9.0,5.0,6.0,3.0,3.0,10.0,2.0,7.0,11.0,11.0,6.0,1.0,11.0,2.0,5.0,Y,Y
2126,4.0,6.0,5.0,4.0,4.0,8.0,9.0,3.0,5.0,10.0,5.0,5.0,3.0,8.0,5.0,8.0,B,D
2127,4.0,9.0,5.0,6.0,2.0,1.0,12.0,5.0,5.0,12.0,10.0,8.0,0.0,8.0,2.0,6.0,F,F
2128,8.0,12.0,8.0,6.0,4.0,8.0,4.0,4.0,5.0,12.0,8.0,11.0,3.0,9.0,6.0,9.0,L,L
2129,4.0,9.0,6.0,7.0,3.0,9.0,7.0,4.0,8.0,12.0,4.0,7.0,2.0,8.0,5.0,9.0,S,S
2130,2.0,6.0,3.0,4.0,3.0,7.0,8.0,7.0,5.0,7.0,9.0,8.0,2.0,9.0,3.0,7.0,O,O
2131,6.0,7.0,7.0,5.0,3.0,4.0,10.0,6.0,7.0,12.0,11.0,8.0,3.0,9.0,2.0,7.0,U,U
2132,3.0,7.0,4.0,5.0,2.0,5.0,10.0,8.0,3.0,7.0,5.0,8.0,2.0,8.0,6.0,11.0,R,R
2133,3.0,6.0,4.0,4.0,3.0,7.0,8.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,5.0,9.0,T,E
2134,1.0,3.0,2.0,1.0,1.0,7.0,7.0,5.0,8.0,6.0,6.0,8.0,1.0,8.0,6.0,8.0,Z,Z
2135,5.0,6.0,6.0,9.0,3.0,8.0,7.0,9.0,8.0,7.0,6.0,9.0,3.0,8.0,4.0,8.0,O,O
2136,7.0,11.0,9.0,9.0,12.0,8.0,7.0,4.0,3.0,6.0,5.0,9.0,8.0,7.0,9.0,14.0,G,M
2137,6.0,9.0,9.0,8.0,9.0,6.0,7.0,2.0,4.0,7.0,4.0,9.0,7.0,5.0,10.0,10.0,K,K
2138,8.0,10.0,6.0,15.0,5.0,4.0,9.0,3.0,1.0,9.0,10.0,5.0,4.0,10.0,7.0,5.0,Y,Y
2139,6.0,9.0,5.0,4.0,3.0,8.0,3.0,4.0,3.0,7.0,3.0,5.0,4.0,7.0,4.0,9.0,G,A
2140,4.0,5.0,7.0,4.0,4.0,7.0,8.0,3.0,6.0,10.0,6.0,8.0,3.0,8.0,3.0,8.0,H,H
2141,3.0,9.0,4.0,7.0,1.0,12.0,2.0,10.0,4.0,14.0,5.0,13.0,1.0,6.0,0.0,8.0,J,J
2142,3.0,5.0,4.0,4.0,2.0,6.0,10.0,1.0,8.0,11.0,9.0,5.0,1.0,9.0,3.0,4.0,T,T
2143,5.0,9.0,7.0,7.0,3.0,8.0,8.0,4.0,2.0,7.0,8.0,8.0,8.0,9.0,0.0,8.0,W,W
2144,2.0,4.0,4.0,3.0,3.0,8.0,7.0,2.0,5.0,10.0,5.0,6.0,2.0,8.0,4.0,9.0,B,B
2145,3.0,8.0,4.0,6.0,2.0,7.0,5.0,14.0,5.0,7.0,13.0,8.0,3.0,9.0,0.0,8.0,U,U
2146,1.0,3.0,3.0,2.0,1.0,5.0,11.0,3.0,4.0,13.0,7.0,5.0,1.0,9.0,1.0,7.0,F,F
2147,4.0,10.0,6.0,8.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,7.0,3.0,7.0,5.0,9.0,R,R
2148,3.0,9.0,4.0,7.0,2.0,7.0,5.0,15.0,5.0,7.0,12.0,8.0,3.0,9.0,0.0,8.0,U,U
2149,8.0,9.0,12.0,8.0,12.0,7.0,7.0,4.0,4.0,6.0,5.0,8.0,14.0,9.0,6.0,9.0,M,M
2150,3.0,4.0,5.0,2.0,2.0,7.0,11.0,4.0,3.0,12.0,4.0,2.0,1.0,9.0,2.0,9.0,P,P
2151,2.0,11.0,2.0,8.0,4.0,7.0,7.0,0.0,6.0,7.0,6.0,8.0,0.0,9.0,3.0,8.0,I,I
2152,3.0,5.0,5.0,6.0,4.0,8.0,9.0,4.0,5.0,7.0,6.0,8.0,3.0,8.0,8.0,9.0,J,X
2153,6.0,9.0,8.0,7.0,7.0,6.0,6.0,8.0,4.0,7.0,6.0,8.0,4.0,9.0,8.0,11.0,P,F
2154,4.0,8.0,6.0,6.0,6.0,10.0,6.0,4.0,5.0,6.0,7.0,6.0,5.0,8.0,4.0,6.0,U,U
2155,1.0,6.0,0.0,4.0,0.0,7.0,7.0,5.0,3.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I,I
2156,4.0,7.0,6.0,5.0,3.0,7.0,12.0,4.0,5.0,14.0,5.0,1.0,0.0,10.0,3.0,8.0,P,P
2157,3.0,3.0,5.0,2.0,3.0,7.0,7.0,2.0,6.0,10.0,6.0,8.0,3.0,8.0,3.0,7.0,H,H
2158,4.0,2.0,6.0,4.0,2.0,7.0,13.0,3.0,4.0,8.0,12.0,8.0,3.0,10.0,2.0,8.0,V,V
2159,6.0,9.0,9.0,7.0,5.0,7.0,9.0,2.0,5.0,10.0,6.0,6.0,6.0,9.0,1.0,8.0,N,N
2160,6.0,11.0,7.0,8.0,4.0,7.0,6.0,7.0,7.0,11.0,6.0,13.0,3.0,9.0,5.0,8.0,G,G
2161,4.0,2.0,6.0,4.0,4.0,9.0,11.0,2.0,2.0,5.0,9.0,7.0,9.0,11.0,2.0,7.0,W,W
2162,5.0,11.0,6.0,8.0,6.0,8.0,8.0,5.0,8.0,5.0,5.0,8.0,0.0,8.0,9.0,8.0,S,S
2163,1.0,3.0,3.0,2.0,1.0,9.0,4.0,4.0,4.0,13.0,7.0,12.0,1.0,7.0,0.0,7.0,J,J
2164,3.0,7.0,4.0,5.0,3.0,6.0,6.0,9.0,7.0,6.0,6.0,7.0,2.0,8.0,9.0,9.0,B,B
2165,3.0,10.0,5.0,8.0,2.0,8.0,8.0,4.0,3.0,6.0,14.0,8.0,3.0,9.0,0.0,8.0,V,V
2166,4.0,9.0,4.0,6.0,4.0,3.0,6.0,5.0,9.0,6.0,7.0,13.0,0.0,8.0,7.0,9.0,E,E
2167,5.0,6.0,5.0,8.0,5.0,8.0,4.0,6.0,5.0,10.0,5.0,10.0,4.0,7.0,6.0,7.0,Q,O
2168,6.0,10.0,8.0,7.0,5.0,7.0,7.0,7.0,6.0,5.0,7.0,9.0,3.0,8.0,4.0,8.0,G,G
2169,3.0,6.0,5.0,5.0,5.0,9.0,6.0,2.0,6.0,8.0,6.0,7.0,3.0,10.0,8.0,6.0,X,J
2170,3.0,4.0,4.0,3.0,3.0,7.0,7.0,6.0,7.0,7.0,6.0,5.0,2.0,8.0,3.0,7.0,D,D
2171,5.0,9.0,6.0,6.0,7.0,9.0,6.0,5.0,2.0,6.0,6.0,10.0,6.0,7.0,5.0,11.0,G,H
2172,3.0,5.0,6.0,3.0,2.0,5.0,8.0,2.0,9.0,11.0,10.0,9.0,2.0,9.0,3.0,6.0,X,E
2173,6.0,10.0,9.0,7.0,5.0,5.0,12.0,4.0,5.0,13.0,8.0,4.0,2.0,10.0,2.0,6.0,F,F
2174,3.0,7.0,5.0,5.0,3.0,11.0,8.0,5.0,1.0,6.0,9.0,8.0,7.0,10.0,0.0,8.0,W,W
2175,4.0,9.0,5.0,8.0,5.0,8.0,8.0,7.0,4.0,5.0,9.0,9.0,2.0,9.0,4.0,9.0,Q,Q
2176,4.0,8.0,5.0,6.0,5.0,7.0,7.0,5.0,10.0,7.0,6.0,8.0,1.0,8.0,7.0,7.0,Z,Z
2177,6.0,9.0,8.0,6.0,7.0,7.0,7.0,6.0,3.0,8.0,8.0,7.0,7.0,9.0,5.0,10.0,W,W
2178,2.0,5.0,3.0,4.0,2.0,6.0,9.0,4.0,5.0,10.0,9.0,6.0,2.0,10.0,3.0,6.0,F,F
2179,6.0,9.0,6.0,4.0,3.0,7.0,7.0,4.0,4.0,9.0,8.0,6.0,4.0,10.0,4.0,4.0,Y,Y
2180,1.0,9.0,0.0,7.0,1.0,7.0,7.0,5.0,3.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I,I
2181,2.0,3.0,3.0,2.0,1.0,5.0,8.0,4.0,5.0,10.0,8.0,9.0,3.0,10.0,1.0,7.0,U,U
2182,4.0,11.0,7.0,8.0,6.0,7.0,5.0,1.0,4.0,5.0,2.0,6.0,5.0,6.0,6.0,6.0,A,A
2183,3.0,8.0,4.0,6.0,2.0,7.0,5.0,14.0,5.0,7.0,13.0,8.0,3.0,9.0,0.0,8.0,U,U
2184,1.0,3.0,2.0,2.0,1.0,9.0,6.0,4.0,4.0,10.0,3.0,5.0,2.0,8.0,2.0,8.0,D,D
2185,6.0,12.0,6.0,6.0,3.0,10.0,4.0,4.0,3.0,12.0,6.0,9.0,3.0,10.0,2.0,8.0,S,Q
2186,1.0,3.0,2.0,1.0,1.0,9.0,8.0,6.0,5.0,5.0,9.0,7.0,3.0,10.0,0.0,8.0,U,U
2187,3.0,9.0,5.0,6.0,4.0,6.0,7.0,9.0,6.0,6.0,6.0,5.0,3.0,8.0,3.0,8.0,D,D
2188,2.0,6.0,3.0,4.0,1.0,7.0,7.0,1.0,8.0,14.0,6.0,8.0,0.0,8.0,1.0,8.0,I,I
2189,5.0,9.0,4.0,4.0,3.0,6.0,8.0,6.0,4.0,9.0,8.0,9.0,4.0,9.0,4.0,8.0,O,O
2190,3.0,7.0,5.0,5.0,1.0,8.0,8.0,4.0,2.0,6.0,14.0,8.0,3.0,10.0,0.0,8.0,V,V
2191,5.0,9.0,7.0,7.0,6.0,9.0,8.0,4.0,5.0,11.0,4.0,4.0,2.0,9.0,4.0,8.0,P,P
2192,2.0,10.0,4.0,7.0,1.0,7.0,14.0,0.0,6.0,7.0,11.0,8.0,0.0,8.0,0.0,8.0,T,T
2193,3.0,7.0,4.0,5.0,3.0,8.0,8.0,7.0,6.0,7.0,6.0,8.0,2.0,8.0,9.0,8.0,S,S
2194,3.0,6.0,4.0,4.0,2.0,8.0,6.0,7.0,7.0,6.0,6.0,9.0,1.0,7.0,6.0,11.0,G,G
2195,4.0,11.0,5.0,8.0,3.0,7.0,7.0,9.0,7.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,O,O
2196,5.0,9.0,8.0,6.0,4.0,10.0,6.0,2.0,8.0,10.0,2.0,7.0,3.0,8.0,3.0,9.0,X,X
2197,5.0,9.0,7.0,7.0,7.0,7.0,9.0,6.0,3.0,5.0,5.0,10.0,4.0,8.0,7.0,8.0,G,G
2198,6.0,9.0,6.0,7.0,4.0,5.0,7.0,7.0,8.0,8.0,6.0,9.0,3.0,9.0,3.0,4.0,U,X
2199,4.0,9.0,5.0,6.0,2.0,1.0,11.0,5.0,7.0,12.0,11.0,9.0,0.0,8.0,2.0,6.0,F,F
